energy (eV)	irradiance (eV s^-1 cm^-2 Hz^-1)
1.77132935829    1098.65965962
1.77145589989    1098.69540533
1.77158245957    1098.61551229
1.77170903734    1098.49706871
1.7718356332    1098.35935823
1.77196224715    1098.22166365
1.7720888792    1098.1032262
1.77221552935    1097.98478895
1.7723421976    1097.92411
1.77246888396    1097.9211646
1.77259558844    1097.97591778
1.77272231103    1098.06910715
1.77284905174    1098.20072637
1.77297581057    1098.3322641
1.77310258753    1098.46374072
1.77322938263    1098.59513586
1.77335619585    1098.72646989
1.77348302722    1098.83850133
1.77360987674    1098.93123841
1.77373674439    1098.98547376
1.77386363021    1099.02044695
1.77399053417    1099.01694591
1.7741174563    1099.01340195
1.77424439658    1099.00983543
1.77437135504    1098.9870241
1.77449833166    1098.94497621
1.77462532646    1098.8261006
1.77475233944    1098.47684024
1.7748793706    1097.78209774
1.77500641995    1096.64606029
1.77513348748    1095.10729849
1.77526057321    1093.31949764
1.77538767714    1091.41705483
1.77551479927    1089.4767587
1.77564193961    1087.53698469
1.77576909816    1085.63608631
1.77589627492    1083.8124052
1.77602346989    1082.18092589
1.77615068309    1080.85659743
1.77627791452    1079.9159308
1.77640516417    1079.24380328
1.77653243206    1078.76343806
1.77665971818    1078.34065498
1.77678702255    1077.93711971
1.77691434516    1077.571971
1.77704168601    1077.26433663
1.77716904513    1077.12909157
1.77729642249    1077.33845109
1.77742381812    1078.08367783
1.77755123202    1079.34541814
1.77767866418    1081.02776678
1.77780611461    1082.95833185
1.77793358333    1084.96483039
1.77806107032    1087.00897481
1.77818857559    1089.03337993
1.77831609916    1091.03804391
1.77844364101    1092.94650863
1.77857120116    1094.70144081
1.77869877962    1096.26470939
1.77882637637    1097.59814451
1.77895399144    1098.79740094
1.77908162481    1099.90075728
1.7792092765    1100.98465532
1.77933694652    1102.0681982
1.77946463485    1103.11321178
1.77959234151    1104.10060292
1.77972006651    1104.91584599
1.77984780984    1105.44448114
1.77997557151    1105.61026655
1.78010335152    1105.45154562
1.78023114988    1105.08294268
1.78035896659    1104.59993318
1.78048680165    1104.07888774
1.78061465508    1103.53887011
1.78074252687    1102.9227043
1.78087041702    1102.00158813
1.78099832555    1100.41342579
1.78112625245    1097.72008327
1.78125419773    1093.73142832
1.7813821614    1088.6576417
1.78151014345    1082.93744429
1.78163814389    1076.95213799
1.78176616272    1070.91137959
1.78189419996    1064.91041431
1.7820222556    1059.19678211
1.78215032964    1054.22733228
1.7822784221    1050.82036858
1.78240653297    1049.73660637
1.78253466226    1051.1844054
1.78266280997    1054.61081521
1.7827909761    1059.15877674
1.78291916067    1064.16197631
1.78304736368    1069.27782734
1.78317558512    1074.39217398
1.783303825    1079.33388583
1.78343208333    1083.8368341
1.78356036011    1087.55903496
1.78368865535    1090.1776932
1.78381696904    1091.71228381
1.7839453012    1092.42931404
1.78407365182    1092.72812352
1.78420202091    1092.87483563
1.78433040848    1092.96448698
1.78445881453    1093.05408864
1.78458723905    1093.12463779
1.78471568207    1093.21411264
1.78484414357    1093.32251505
1.78497262357    1093.41186772
1.78510112207    1093.52014249
1.78522963907    1093.64733117
1.78535817457    1093.77443918
1.78548672859    1093.88251299
1.78561530112    1094.00949255
1.78574389217    1094.15535962
1.78587250174    1094.32011605
1.78600112984    1094.59853702
1.78612977646    1095.02848325
1.78625844163    1095.64781371
1.78638712533    1096.45641641
1.78651582757    1097.34055906
1.78664454836    1098.28123982
1.7867732877    1099.22161531
1.78690204559    1100.18061911
1.78703082204    1101.08250976
1.78715961706    1101.90836372
1.78728843064    1102.5257162
1.78741726279    1102.85892665
1.78754611351    1102.85133814
1.78767498282    1102.59772398
1.7878038707    1102.17386842
1.78793277717    1101.71226725
1.78806170224    1101.21293683
1.7881906459    1100.71371605
1.78831960815    1100.17677782
1.78844858901    1099.6210593
1.78857758848    1098.9709563
1.78870660655    1098.20759433
1.78883564324    1097.31211982
1.78896469855    1096.32239983
1.78909377248    1095.29514681
1.78922286504    1094.24927153
1.78935197623    1093.20365391
1.78948110606    1092.17719291
1.78961025452    1091.2076329
1.78973942163    1090.42712423
1.78986860738    1089.967691
1.78999781178    1089.92359471
1.79012703484    1090.27576018
1.79025627656    1090.89194712
1.79038553694    1091.63999156
1.79051481599    1092.42550029
1.79064411371    1093.24847697
1.7907734301    1094.05232
1.79090276518    1094.79932952
1.79103211893    1095.47068374
1.79116149138    1095.97216738
1.79129088251    1096.26615229
1.79142029235    1096.39043459
1.79154972088    1096.40159411
1.79167916811    1096.37504066
1.79180863405    1096.32962058
1.79193811871    1096.26535201
1.79206762207    1096.23872674
1.79219714416    1096.21207483
1.79232668498    1096.24187353
1.79245624452    1096.36573116
1.79258582279    1096.58362682
1.7927154198    1096.87667888
1.79284503555    1097.22606639
1.79297467004    1097.5753085
1.79310432328    1097.94322794
1.79323399527    1098.31100654
1.79336368602    1098.6786443
1.79349339553    1099.02733667
1.79362312381    1099.35710175
1.79375287085    1099.66793779
